"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","SBP_R","BMI_R","Smoker_R","TC_L","FPG_L","user_n"
"29","Female","45-64","NH White","<HSG","SBP>=140","Obese","No smoke","High TC","Glucose 100-125",1
"30","Female","45-64","NH White","<HSG","SBP>=140","Obese","No smoke","High TC","Glucose>=126",9
"31","Female","45-64","NH White","<HSG","SBP>=140","Obese","No smoke","Normal TC","Glucose 100-125",1
"32","Female","45-64","NH White","<HSG","SBP>=140","Obese","No smoke","Normal TC","Glucose>=126",16
"33","Female","45-64","NH White","<HSG","SBP>=140","Obese","Smoke","High TC","Glucose>=126",3
"34","Female","45-64","NH White","<HSG","SBP>=140","Obese","Smoke","Normal TC","Glucose>=126",4
"35","Female","45-64","NH White","HSG/GED","SBP<120","Overweight","No smoke","High TC","Glucose>=126",6
"36","Female","45-64","NH White","HSG/GED","SBP<120","Overweight","No smoke","Normal TC","Glucose>=126",7
"37","Female","45-64","NH White","HSG/GED","SBP<120","Overweight","Smoke","High TC","Glucose 100-125",1
"38","Female","45-64","NH White","HSG/GED","SBP<120","Overweight","Smoke","High TC","Glucose>=126",1
"39","Female","45-64","NH White","HSG/GED","SBP<120","Overweight","Smoke","Normal TC","Glucose>=126",1
"40","Female","45-64","NH White","HSG/GED","SBP<120","Obese","No smoke","High TC","Glucose<100",1
"41","Female","45-64","NH White","HSG/GED","SBP<120","Obese","No smoke","High TC","Glucose 100-125",2
"42","Female","45-64","NH White","HSG/GED","SBP<120","Obese","No smoke","High TC","Glucose>=126",15
"43","Female","45-64","NH White","HSG/GED","SBP<120","Obese","No smoke","Normal TC","Glucose 100-125",4
"44","Female","45-64","NH White","HSG/GED","SBP<120","Obese","No smoke","Normal TC","Glucose>=126",21
"45","Female","45-64","NH White","HSG/GED","SBP<120","Obese","Smoke","High TC","Glucose 100-125",2
"46","Female","45-64","NH White","HSG/GED","SBP<120","Obese","Smoke","High TC","Glucose>=126",3
"47","Female","45-64","NH White","HSG/GED","SBP<120","Obese","Smoke","Normal TC","Glucose>=126",5
"48","Female","45-64","NH White","HSG/GED","SBP 120-129","Normal weight","No smoke","High TC","Glucose>=126",2
"49","Female","45-64","NH White","HSG/GED","SBP 120-129","Normal weight","No smoke","Normal TC","Glucose>=126",2
"50","Female","45-64","NH White","HSG/GED","SBP 120-129","Normal weight","Smoke","High TC","Glucose>=126",1
"51","Female","45-64","NH White","HSG/GED","SBP 120-129","Normal weight","Smoke","Normal TC","Glucose>=126",1
"52","Female","45-64","NH White","HSG/GED","SBP 120-129","Overweight","No smoke","Normal TC","Glucose>=126",6
"53","Female","45-64","NH White","HSG/GED","SBP 120-129","Overweight","Smoke","High TC","Glucose>=126",1
"54","Female","45-64","NH White","HSG/GED","SBP 120-129","Overweight","Smoke","Normal TC","Glucose>=126",1
"55","Female","45-64","NH White","HSG/GED","SBP 120-129","Obese","No smoke","High TC","Glucose 100-125",4
"56","Female","45-64","NH White","HSG/GED","SBP 120-129","Obese","No smoke","High TC","Glucose>=126",16
"57","Female","45-64","NH White","HSG/GED","SBP 120-129","Obese","No smoke","Normal TC","Glucose<100",1
"58","Female","45-64","NH White","HSG/GED","SBP 120-129","Obese","No smoke","Normal TC","Glucose 100-125",4
"59","Female","45-64","NH White","HSG/GED","SBP 120-129","Obese","No smoke","Normal TC","Glucose>=126",37
"60","Female","45-64","NH White","HSG/GED","SBP 120-129","Obese","No smoke",NA,NA,1
"61","Female","45-64","NH White","HSG/GED","SBP 120-129","Obese","Smoke","High TC","Glucose 100-125",1
"62","Female","45-64","NH White","HSG/GED","SBP 120-129","Obese","Smoke","High TC","Glucose>=126",2
"63","Female","45-64","NH White","HSG/GED","SBP 120-129","Obese","Smoke","Normal TC","Glucose>=126",6
"64","Female","45-64","NH White","HSG/GED","SBP 130-139","Normal weight","No smoke","High TC","Glucose>=126",1
"65","Female","45-64","NH White","HSG/GED","SBP 130-139","Normal weight","Smoke","Normal TC","Glucose>=126",2
"66","Female","45-64","NH White","HSG/GED","SBP 130-139","Overweight","No smoke","High TC","Glucose 100-125",2
"67","Female","45-64","NH White","HSG/GED","SBP 130-139","Overweight","No smoke","High TC","Glucose>=126",5
"68","Female","45-64","NH White","HSG/GED","SBP 130-139","Overweight","No smoke","Normal TC","Glucose 100-125",2
"69","Female","45-64","NH White","HSG/GED","SBP 130-139","Overweight","No smoke","Normal TC","Glucose>=126",4
"70","Female","45-64","NH White","HSG/GED","SBP 130-139","Overweight","Smoke","High TC","Glucose<100",1
"71","Female","45-64","NH White","HSG/GED","SBP 130-139","Overweight","Smoke","Normal TC","Glucose>=126",2
"72","Female","45-64","NH White","HSG/GED","SBP 130-139","Obese","No smoke","High TC","Glucose<100",2
"73","Female","45-64","NH White","HSG/GED","SBP 130-139","Obese","No smoke","High TC","Glucose 100-125",1
"74","Female","45-64","NH White","HSG/GED","SBP 130-139","Obese","No smoke","High TC","Glucose>=126",33
"75","Female","45-64","NH White","HSG/GED","SBP 130-139","Obese","No smoke","Normal TC","Glucose<100",2
"76","Female","45-64","NH White","HSG/GED","SBP 130-139","Obese","No smoke","Normal TC","Glucose 100-125",2
"77","Female","45-64","NH White","HSG/GED","SBP 130-139","Obese","No smoke","Normal TC","Glucose>=126",23
"78","Female","45-64","NH White","HSG/GED","SBP 130-139","Obese","Smoke","High TC","Glucose>=126",2
"79","Female","45-64","NH White","HSG/GED","SBP 130-139","Obese","Smoke","Normal TC","Glucose 100-125",2
"80","Female","45-64","NH White","HSG/GED","SBP 130-139","Obese","Smoke","Normal TC","Glucose>=126",5
"81","Female","45-64","NH White","HSG/GED","SBP>=140","Normal weight","No smoke","High TC","Glucose>=126",1
"82","Female","45-64","NH White","HSG/GED","SBP>=140","Normal weight","No smoke","Normal TC","Glucose>=126",1
"83","Female","45-64","NH White","HSG/GED","SBP>=140","Normal weight","Smoke","High TC","Glucose>=126",3
"84","Female","45-64","NH White","HSG/GED","SBP>=140","Normal weight","Smoke","Normal TC","Glucose>=126",2
"85","Female","45-64","NH White","HSG/GED","SBP>=140","Overweight","No smoke","High TC","Glucose<100",1
"86","Female","45-64","NH White","HSG/GED","SBP>=140","Overweight","No smoke","High TC","Glucose 100-125",2
"87","Female","45-64","NH White","HSG/GED","SBP>=140","Overweight","No smoke","High TC","Glucose>=126",11
"88","Female","45-64","NH White","HSG/GED","SBP>=140","Overweight","No smoke","Normal TC","Glucose 100-125",1
"89","Female","45-64","NH White","HSG/GED","SBP>=140","Overweight","No smoke","Normal TC","Glucose>=126",9
"90","Female","45-64","NH White","HSG/GED","SBP>=140","Overweight","Smoke","High TC","Glucose>=126",1
"91","Female","45-64","NH White","HSG/GED","SBP>=140","Overweight","Smoke","Normal TC","Glucose>=126",4
"92","Female","45-64","NH White","HSG/GED","SBP>=140","Obese","No smoke","High TC","Glucose<100",1
"93","Female","45-64","NH White","HSG/GED","SBP>=140","Obese","No smoke","High TC","Glucose 100-125",2
"94","Female","45-64","NH White","HSG/GED","SBP>=140","Obese","No smoke","High TC","Glucose>=126",41
"95","Female","45-64","NH White","HSG/GED","SBP>=140","Obese","No smoke","Normal TC","Glucose<100",4
"96","Female","45-64","NH White","HSG/GED","SBP>=140","Obese","No smoke","Normal TC","Glucose 100-125",6
"97","Female","45-64","NH White","HSG/GED","SBP>=140","Obese","No smoke","Normal TC","Glucose>=126",47
"98","Female","45-64","NH White","HSG/GED","SBP>=140","Obese","Smoke","High TC","Glucose>=126",7
"99","Female","45-64","NH White","HSG/GED","SBP>=140","Obese","Smoke","Normal TC","Glucose<100",1
"100","Female","45-64","NH White","HSG/GED","SBP>=140","Obese","Smoke","Normal TC","Glucose>=126",4
"101","Female","45-64","NH White","HSG/GED",NA,"Obese","No smoke","Normal TC","Glucose 100-125",1
"102","Female","45-64","NH White","HSG/GED",NA,"Obese","No smoke","Normal TC","Glucose>=126",1
"103","Female","45-64","NH White","Some college/TS","SBP<120","Normal weight","No smoke","Normal TC","Glucose<100",1
"104","Female","45-64","NH White","Some college/TS","SBP<120","Normal weight","No smoke","Normal TC","Glucose>=126",2
"105","Female","45-64","NH White","Some college/TS","SBP<120","Normal weight","Smoke","Normal TC","Glucose>=126",1
"106","Female","45-64","NH White","Some college/TS","SBP<120","Overweight","No smoke","High TC","Glucose>=126",3
"107","Female","45-64","NH White","Some college/TS","SBP<120","Overweight","No smoke","Normal TC","Glucose<100",1
"108","Female","45-64","NH White","Some college/TS","SBP<120","Overweight","No smoke","Normal TC","Glucose 100-125",1
"109","Female","45-64","NH White","Some college/TS","SBP<120","Overweight","No smoke","Normal TC","Glucose>=126",1
"110","Female","45-64","NH White","Some college/TS","SBP<120","Overweight","Smoke","High TC","Glucose 100-125",1
"111","Female","45-64","NH White","Some college/TS","SBP<120","Overweight","Smoke","High TC","Glucose>=126",2
"112","Female","45-64","NH White","Some college/TS","SBP<120","Overweight","Smoke","Normal TC","Glucose>=126",2
"113","Female","45-64","NH White","Some college/TS","SBP<120","Obese","No smoke","High TC","Glucose>=126",15
"114","Female","45-64","NH White","Some college/TS","SBP<120","Obese","No smoke","Normal TC","Glucose<100",2
"115","Female","45-64","NH White","Some college/TS","SBP<120","Obese","No smoke","Normal TC","Glucose 100-125",6
"116","Female","45-64","NH White","Some college/TS","SBP<120","Obese","No smoke","Normal TC","Glucose>=126",38
"117","Female","45-64","NH White","Some college/TS","SBP<120","Obese","Smoke","High TC","Glucose>=126",4
"118","Female","45-64","NH White","Some college/TS","SBP<120","Obese","Smoke","Normal TC","Glucose 100-125",2
"119","Female","45-64","NH White","Some college/TS","SBP<120","Obese","Smoke","Normal TC","Glucose>=126",10
"120","Female","45-64","NH White","Some college/TS","SBP<120",NA,"Smoke","Normal TC","Glucose>=126",1
"121","Female","45-64","NH White","Some college/TS","SBP 120-129","Normal weight","No smoke","High TC","Glucose>=126",2
"122","Female","45-64","NH White","Some college/TS","SBP 120-129","Normal weight","No smoke","Normal TC","Glucose<100",1
"123","Female","45-64","NH White","Some college/TS","SBP 120-129","Normal weight","No smoke","Normal TC","Glucose>=126",1
"124","Female","45-64","NH White","Some college/TS","SBP 120-129","Overweight","No smoke","High TC","Glucose 100-125",1
"125","Female","45-64","NH White","Some college/TS","SBP 120-129","Overweight","No smoke","High TC","Glucose>=126",4
"126","Female","45-64","NH White","Some college/TS","SBP 120-129","Overweight","No smoke","Normal TC","Glucose>=126",6
"127","Female","45-64","NH White","Some college/TS","SBP 120-129","Overweight","Smoke","High TC","Glucose>=126",1
"128","Female","45-64","NH White","Some college/TS","SBP 120-129","Overweight","Smoke","Normal TC","Glucose 100-125",1
"129","Female","45-64","NH White","Some college/TS","SBP 120-129","Overweight","Smoke","Normal TC","Glucose>=126",2
"130","Female","45-64","NH White","Some college/TS","SBP 120-129","Obese","No smoke","High TC","Glucose<100",1
"131","Female","45-64","NH White","Some college/TS","SBP 120-129","Obese","No smoke","High TC","Glucose 100-125",1
"132","Female","45-64","NH White","Some college/TS","SBP 120-129","Obese","No smoke","High TC","Glucose>=126",39
"133","Female","45-64","NH White","Some college/TS","SBP 120-129","Obese","No smoke","Normal TC","Glucose<100",4
"134","Female","45-64","NH White","Some college/TS","SBP 120-129","Obese","No smoke","Normal TC","Glucose 100-125",6
"135","Female","45-64","NH White","Some college/TS","SBP 120-129","Obese","No smoke","Normal TC","Glucose>=126",44
"136","Female","45-64","NH White","Some college/TS","SBP 120-129","Obese","Smoke","High TC","Glucose>=126",10
"137","Female","45-64","NH White","Some college/TS","SBP 120-129","Obese","Smoke","Normal TC","Glucose>=126",3
"138","Female","45-64","NH White","Some college/TS","SBP 130-139","Normal weight","No smoke","Normal TC","Glucose>=126",1
"139","Female","45-64","NH White","Some college/TS","SBP 130-139","Overweight","No smoke","High TC","Glucose>=126",7
"140","Female","45-64","NH White","Some college/TS","SBP 130-139","Overweight","No smoke","Normal TC","Glucose 100-125",2
"141","Female","45-64","NH White","Some college/TS","SBP 130-139","Overweight","No smoke","Normal TC","Glucose>=126",13
"142","Female","45-64","NH White","Some college/TS","SBP 130-139","Overweight","Smoke","High TC","Glucose>=126",1
"143","Female","45-64","NH White","Some college/TS","SBP 130-139","Overweight","Smoke","Normal TC","Glucose>=126",1
"144","Female","45-64","NH White","Some college/TS","SBP 130-139","Obese","No smoke","High TC","Glucose<100",3
"145","Female","45-64","NH White","Some college/TS","SBP 130-139","Obese","No smoke","High TC","Glucose 100-125",3
"146","Female","45-64","NH White","Some college/TS","SBP 130-139","Obese","No smoke","High TC","Glucose>=126",43
"147","Female","45-64","NH White","Some college/TS","SBP 130-139","Obese","No smoke","Normal TC","Glucose<100",2
"148","Female","45-64","NH White","Some college/TS","SBP 130-139","Obese","No smoke","Normal TC","Glucose 100-125",7
"149","Female","45-64","NH White","Some college/TS","SBP 130-139","Obese","No smoke","Normal TC","Glucose>=126",45
"150","Female","45-64","NH White","Some college/TS","SBP 130-139","Obese","Smoke","High TC","Glucose 100-125",1
"151","Female","45-64","NH White","Some college/TS","SBP 130-139","Obese","Smoke","High TC","Glucose>=126",4
"152","Female","45-64","NH White","Some college/TS","SBP 130-139","Obese","Smoke","Normal TC","Glucose<100",1
"153","Female","45-64","NH White","Some college/TS","SBP 130-139","Obese","Smoke","Normal TC","Glucose>=126",7
"154","Female","45-64","NH White","Some college/TS","SBP>=140","Normal weight","No smoke","High TC","Glucose>=126",2
"155","Female","45-64","NH White","Some college/TS","SBP>=140","Normal weight","No smoke","Normal TC","Glucose>=126",3
"156","Female","45-64","NH White","Some college/TS","SBP>=140","Overweight","No smoke","High TC","Glucose>=126",13
"157","Female","45-64","NH White","Some college/TS","SBP>=140","Overweight","No smoke","Normal TC","Glucose<100",1
"158","Female","45-64","NH White","Some college/TS","SBP>=140","Overweight","No smoke","Normal TC","Glucose>=126",12
"159","Female","45-64","NH White","Some college/TS","SBP>=140","Overweight","Smoke","High TC","Glucose>=126",3
"160","Female","45-64","NH White","Some college/TS","SBP>=140","Overweight","Smoke","Normal TC","Glucose<100",1
"161","Female","45-64","NH White","Some college/TS","SBP>=140","Overweight","Smoke","Normal TC","Glucose>=126",5
"162","Female","45-64","NH White","Some college/TS","SBP>=140","Obese","No smoke","High TC","Glucose<100",4
"163","Female","45-64","NH White","Some college/TS","SBP>=140","Obese","No smoke","High TC","Glucose 100-125",5
"164","Female","45-64","NH White","Some college/TS","SBP>=140","Obese","No smoke","High TC","Glucose>=126",72
"165","Female","45-64","NH White","Some college/TS","SBP>=140","Obese","No smoke","Normal TC","Glucose<100",5
"166","Female","45-64","NH White","Some college/TS","SBP>=140","Obese","No smoke","Normal TC","Glucose 100-125",5
"167","Female","45-64","NH White","Some college/TS","SBP>=140","Obese","No smoke","Normal TC","Glucose>=126",77
"168","Female","45-64","NH White","Some college/TS","SBP>=140","Obese","Smoke","High TC","Glucose>=126",7
"169","Female","45-64","NH White","Some college/TS","SBP>=140","Obese","Smoke","Normal TC","Glucose>=126",13
"170","Female","45-64","NH White","Some college/TS",NA,"Obese","No smoke","Normal TC","Glucose>=126",2
"171","Female","45-64","NH White",">=College grad","SBP<120","Normal weight","No smoke","Normal TC","Glucose>=126",2
"172","Female","45-64","NH White",">=College grad","SBP<120","Normal weight","Smoke","High TC","Glucose>=126",1
"173","Female","45-64","NH White",">=College grad","SBP<120","Overweight","No smoke","High TC","Glucose 100-125",1
"174","Female","45-64","NH White",">=College grad","SBP<120","Overweight","No smoke","High TC","Glucose>=126",1
"175","Female","45-64","NH White",">=College grad","SBP<120","Overweight","No smoke","Normal TC","Glucose>=126",3
"176","Female","45-64","NH White",">=College grad","SBP<120","Overweight","Smoke","High TC","Glucose>=126",1
"177","Female","45-64","NH White",">=College grad","SBP<120","Obese","No smoke","High TC","Glucose>=126",17
"178","Female","45-64","NH White",">=College grad","SBP<120","Obese","No smoke","Normal TC","Glucose 100-125",2
"179","Female","45-64","NH White",">=College grad","SBP<120","Obese","No smoke","Normal TC","Glucose>=126",43
"180","Female","45-64","NH White",">=College grad","SBP<120","Obese","Smoke","Normal TC","Glucose 100-125",1
"181","Female","45-64","NH White",">=College grad","SBP<120","Obese","Smoke","Normal TC","Glucose>=126",6
"182","Female","45-64","NH White",">=College grad","SBP 120-129","Normal weight","No smoke","Normal TC","Glucose 100-125",1
"183","Female","45-64","NH White",">=College grad","SBP 120-129","Normal weight","No smoke","Normal TC","Glucose>=126",1
"184","Female","45-64","NH White",">=College grad","SBP 120-129","Overweight","No smoke","High TC","Glucose>=126",1
"185","Female","45-64","NH White",">=College grad","SBP 120-129","Overweight","No smoke","Normal TC","Glucose<100",1
"186","Female","45-64","NH White",">=College grad","SBP 120-129","Overweight","No smoke","Normal TC","Glucose>=126",6
"187","Female","45-64","NH White",">=College grad","SBP 120-129","Overweight","Smoke","High TC","Glucose>=126",1
"188","Female","45-64","NH White",">=College grad","SBP 120-129","Obese","No smoke","High TC","Glucose>=126",20
"189","Female","45-64","NH White",">=College grad","SBP 120-129","Obese","No smoke","Normal TC","Glucose<100",3
"190","Female","45-64","NH White",">=College grad","SBP 120-129","Obese","No smoke","Normal TC","Glucose 100-125",2
"191","Female","45-64","NH White",">=College grad","SBP 120-129","Obese","No smoke","Normal TC","Glucose>=126",28
"192","Female","45-64","NH White",">=College grad","SBP 120-129","Obese","Smoke","Normal TC","Glucose>=126",4
"193","Female","45-64","NH White",">=College grad","SBP 130-139","Normal weight","No smoke","High TC","Glucose>=126",1
"194","Female","45-64","NH White",">=College grad","SBP 130-139","Normal weight","No smoke","Normal TC","Glucose<100",1
"195","Female","45-64","NH White",">=College grad","SBP 130-139","Normal weight","No smoke","Normal TC","Glucose 100-125",1
"196","Female","45-64","NH White",">=College grad","SBP 130-139","Overweight","No smoke","High TC","Glucose 100-125",1
"197","Female","45-64","NH White",">=College grad","SBP 130-139","Overweight","No smoke","High TC","Glucose>=126",7
"198","Female","45-64","NH White",">=College grad","SBP 130-139","Overweight","No smoke","Normal TC","Glucose 100-125",1
"199","Female","45-64","NH White",">=College grad","SBP 130-139","Overweight","No smoke","Normal TC","Glucose>=126",9
"200","Female","45-64","NH White",">=College grad","SBP 130-139","Obese","No smoke","High TC","Glucose<100",1
"201","Female","45-64","NH White",">=College grad","SBP 130-139","Obese","No smoke","High TC","Glucose>=126",18
"202","Female","45-64","NH White",">=College grad","SBP 130-139","Obese","No smoke","Normal TC","Glucose<100",1
"203","Female","45-64","NH White",">=College grad","SBP 130-139","Obese","No smoke","Normal TC","Glucose 100-125",2
"204","Female","45-64","NH White",">=College grad","SBP 130-139","Obese","No smoke","Normal TC","Glucose>=126",35
"205","Female","45-64","NH White",">=College grad","SBP 130-139","Obese","Smoke","High TC","Glucose>=126",3
"206","Female","45-64","NH White",">=College grad","SBP 130-139","Obese","Smoke","Normal TC","Glucose>=126",3
"207","Female","45-64","NH White",">=College grad","SBP>=140","Normal weight","No smoke","Normal TC","Glucose>=126",3
"208","Female","45-64","NH White",">=College grad","SBP>=140","Normal weight","Smoke","High TC","Glucose>=126",1
"209","Female","45-64","NH White",">=College grad","SBP>=140","Overweight","No smoke","High TC","Glucose<100",1
"210","Female","45-64","NH White",">=College grad","SBP>=140","Overweight","No smoke","High TC","Glucose 100-125",2
"211","Female","45-64","NH White",">=College grad","SBP>=140","Overweight","No smoke","High TC","Glucose>=126",14
"212","Female","45-64","NH White",">=College grad","SBP>=140","Overweight","No smoke","Normal TC","Glucose<100",2
"213","Female","45-64","NH White",">=College grad","SBP>=140","Overweight","No smoke","Normal TC","Glucose 100-125",1
"214","Female","45-64","NH White",">=College grad","SBP>=140","Overweight","No smoke","Normal TC","Glucose>=126",4
"215","Female","45-64","NH White",">=College grad","SBP>=140","Overweight","Smoke","High TC","Glucose>=126",1
"216","Female","45-64","NH White",">=College grad","SBP>=140","Overweight","Smoke","Normal TC","Glucose>=126",1
"217","Female","45-64","NH White",">=College grad","SBP>=140","Obese","No smoke","High TC","Glucose<100",1
"218","Female","45-64","NH White",">=College grad","SBP>=140","Obese","No smoke","High TC","Glucose 100-125",4
"219","Female","45-64","NH White",">=College grad","SBP>=140","Obese","No smoke","High TC","Glucose>=126",29
"220","Female","45-64","NH White",">=College grad","SBP>=140","Obese","No smoke","Normal TC","Glucose 100-125",3
"221","Female","45-64","NH White",">=College grad","SBP>=140","Obese","No smoke","Normal TC","Glucose>=126",32
"222","Female","45-64","NH White",">=College grad","SBP>=140","Obese","Smoke","High TC","Glucose>=126",2
"223","Female","45-64","NH White",">=College grad","SBP>=140","Obese","Smoke","Normal TC","Glucose<100",1
"224","Female","45-64","NH White",">=College grad","SBP>=140","Obese","Smoke","Normal TC","Glucose>=126",2
"225","Female","45-64","NH White",">=College grad",NA,"Obese","No smoke","High TC","Glucose>=126",1
"226","Female","45-64","NH Black","<HSG","SBP<120","Normal weight","Smoke","High TC","Glucose>=126",1
"227","Female","45-64","NH Black","<HSG","SBP<120","Normal weight","Smoke","Normal TC","Glucose<100",1
"228","Female","45-64","NH Black","<HSG","SBP<120","Overweight","No smoke","Normal TC","Glucose 100-125",1
"229","Female","45-64","NH Black","<HSG","SBP<120","Overweight","Smoke","Normal TC","Glucose>=126",1
"230","Female","45-64","NH Black","<HSG","SBP<120","Obese","No smoke","High TC","Glucose>=126",1
"231","Female","45-64","NH Black","<HSG","SBP<120","Obese","No smoke","Normal TC","Glucose<100",2
"232","Female","45-64","NH Black","<HSG","SBP<120","Obese","No smoke","Normal TC","Glucose 100-125",1
"233","Female","45-64","NH Black","<HSG","SBP<120","Obese","No smoke","Normal TC","Glucose>=126",3
"234","Female","45-64","NH Black","<HSG","SBP<120","Obese","Smoke","High TC","Glucose>=126",1
"235","Female","45-64","NH Black","<HSG","SBP<120","Obese","Smoke","Normal TC","Glucose>=126",1
"236","Female","45-64","NH Black","<HSG","SBP 120-129","Normal weight","No smoke","High TC","Glucose>=126",1
"237","Female","45-64","NH Black","<HSG","SBP 120-129","Overweight","No smoke","High TC","Glucose>=126",1
"238","Female","45-64","NH Black","<HSG","SBP 120-129","Overweight","No smoke","Normal TC","Glucose<100",1
"239","Female","45-64","NH Black","<HSG","SBP 120-129","Overweight","No smoke","Normal TC","Glucose>=126",1
"240","Female","45-64","NH Black","<HSG","SBP 120-129","Obese","No smoke","High TC","Glucose>=126",5
"241","Female","45-64","NH Black","<HSG","SBP 120-129","Obese","No smoke","Normal TC","Glucose<100",1
"242","Female","45-64","NH Black","<HSG","SBP 120-129","Obese","No smoke","Normal TC","Glucose 100-125",2
"243","Female","45-64","NH Black","<HSG","SBP 120-129","Obese","No smoke","Normal TC","Glucose>=126",6
"244","Female","45-64","NH Black","<HSG","SBP 120-129","Obese","No smoke",NA,NA,1
"245","Female","45-64","NH Black","<HSG","SBP 120-129","Obese","Smoke","Normal TC","Glucose<100",1
"246","Female","45-64","NH Black","<HSG","SBP 120-129","Obese","Smoke","Normal TC","Glucose 100-125",1
"247","Female","45-64","NH Black","<HSG","SBP 130-139","Overweight","No smoke","High TC","Glucose<100",2
"248","Female","45-64","NH Black","<HSG","SBP 130-139","Overweight","No smoke","High TC","Glucose>=126",1
"249","Female","45-64","NH Black","<HSG","SBP 130-139","Overweight","No smoke","Normal TC","Glucose<100",1
"250","Female","45-64","NH Black","<HSG","SBP 130-139","Overweight","No smoke","Normal TC","Glucose 100-125",1
"251","Female","45-64","NH Black","<HSG","SBP 130-139","Overweight","No smoke","Normal TC","Glucose>=126",2
"252","Female","45-64","NH Black","<HSG","SBP 130-139","Overweight","Smoke","High TC","Glucose 100-125",2
"253","Female","45-64","NH Black","<HSG","SBP 130-139","Overweight","Smoke","High TC","Glucose>=126",1
"254","Female","45-64","NH Black","<HSG","SBP 130-139","Overweight","Smoke","Normal TC","Glucose<100",2
"255","Female","45-64","NH Black","<HSG","SBP 130-139","Overweight","Smoke","Normal TC","Glucose 100-125",1
"256","Female","45-64","NH Black","<HSG","SBP 130-139","Overweight","Smoke","Normal TC","Glucose>=126",1
"257","Female","45-64","NH Black","<HSG","SBP 130-139","Obese","No smoke","High TC","Glucose<100",1
"258","Female","45-64","NH Black","<HSG","SBP 130-139","Obese","No smoke","High TC","Glucose 100-125",1
"259","Female","45-64","NH Black","<HSG","SBP 130-139","Obese","No smoke","High TC","Glucose>=126",12
"260","Female","45-64","NH Black","<HSG","SBP 130-139","Obese","No smoke","Normal TC","Glucose<100",5
"261","Female","45-64","NH Black","<HSG","SBP 130-139","Obese","No smoke","Normal TC","Glucose 100-125",1
"262","Female","45-64","NH Black","<HSG","SBP 130-139","Obese","No smoke","Normal TC","Glucose>=126",11
"263","Female","45-64","NH Black","<HSG","SBP 130-139","Obese","Smoke","High TC","Glucose>=126",1
"264","Female","45-64","NH Black","<HSG","SBP 130-139","Obese","Smoke","Normal TC","Glucose>=126",1
"265","Female","45-64","NH Black","<HSG","SBP>=140","Normal weight","No smoke","High TC","Glucose>=126",2
