,SBP,BMI,Smoker,Observed_Rate,Ideal_Rate,LogDisparity,user_n,pValue,BH_p
52,SBP 130-139,Normal weight,No smoke,0.03212608,0.015602038,0.739194996,212,2.45E-27,3.26E-27
53,SBP 130-139,Obese,Smoke,0.029246856,0.051931313,-0.597795132,193,9.99E-17,1.27E-16
54,SBP 130-139,Obese,No smoke,0.161691165,0.082776414,0.759509654,1067,9.99E-120,1.44E-119
55,SBP 130-139,Overweight,Smoke,0.023033793,0.016163861,0.361191761,152,9.62E-06,1.16E-05
56,SBP 130-139,Overweight,No smoke,0.107288983,0.024621797,1.560456231,708,0,0
57,SBP 130-139,Underweight,Smoke,0.000757691,0.000613659,0.210979696,5,0.63659755,0.662061452
58,SBP 130-139,Underweight,No smoke,0.000757691,0.004166908,-1.708072027,5,1.71E-05,2.03E-05
59,SBP<120,Normal weight,Smoke,0,0.02846019,#NAME?,0,#NAME?,#NAME?
60,SBP<120,Normal weight,No smoke,0,0.013523422,#NAME?,0,#NAME?,#NAME?
61,SBP<120,Obese,Smoke,0,0.053964843,#NAME?,0,#NAME?,#NAME?
62,SBP<120,Obese,No smoke,0,0.088588034,#NAME?,0,#NAME?,#NAME?
63,SBP<120,Overweight,Smoke,0,0.035242954,#NAME?,0,#NAME?,#NAME?
64,SBP<120,Overweight,No smoke,0,0.036640436,#NAME?,0,#NAME?,#NAME?
65,SBP<120,Underweight,Smoke,0,0.002276484,#NAME?,0,#NAME?,#NAME?
66,SBP<120,Underweight,No smoke,0,0,-9999999,0,-9999999,-21666664.5
67,SBP>=140,Normal weight,Smoke,0.028034551,0.026053396,0.075325782,185,0.312343513,0.331466585
68,SBP>=140,Normal weight,No smoke,0.066525231,0.016868311,1.423973635,439,2.20E-215,3.36E-215
69,SBP>=140,Obese,Smoke,0.042279133,0.053094025,-0.239127307,279,8.92E-05,0.000103096
70,SBP>=140,Obese,No smoke,0.253674799,0.072777974,1.465671395,1674,0,0
71,SBP>=140,Overweight,Smoke,0.042582209,0.035085446,0.201449825,281,0.000933546,0.001055313
72,SBP>=140,Overweight,No smoke,0.194271859,0.071329499,1.143956151,1282,0,0
73,SBP>=140,Underweight,Smoke,0.001212305,0.001236403,-0.019706997,8,0.955575295,0.955575295
74,SBP>=140,Underweight,No smoke,0.001363843,0.002291054,-0.519634358,9,0.11515817,0.127409039
